               MD5                                                  Url
b89b9db6218a270e9a9c24b5e27a1e21     http://v.teacherclub.com.cn/course/cf/2011zg/jx1_rt/video/jx_1_hpj3.flv
ea34a822060ae25f25fe9ca7b07e400e     http://v.teacherclub.com.cn/course/cf/2011zg/jx1_rt/video/jx_1_hpj2.flv
9255b6169c57c21893fcdc520d68afbb     http://v.teacherclub.com.cn/course/cf/2011zg/jx1_rt/video/jx_1_hpj1.flv
83601deeb577d7cbcac73b18a9e144b4     http://v.teacherclub.com.cn/course/cf/2011xkgp212/syxbzw/video/syxbzw4.flv
f406428fe2c0df5a8dc9fc3e0365c422     http://v.teacherclub.com.cn/course/cf/2011xkgp212/syxbzw/video/syxbzw3.flv
a2473632258be0bed6c18dcf22a96f6d     http://v.teacherclub.com.cn/course/cf/2011xkgp212/syxbzw/video/syxbzw2.flv
c2e17b618977fb7ffb76fcdbf8b0c68a     http://v.teacherclub.com.cn/course/cf/2011xkgp212/syxbzw/video/syxbzw1.flv
5855a08470e51c948d0ea10828279bbc     http://v.teacherclub.com.cn/course/cf/2011xkgp212/syxbxc/video/syxbxc4.flv
12c9396577bd5ebb4f890e63aaf31796     http://v.teacherclub.com.cn/course/cf/2011xkgp212/syxbxc/video/syxbxc3.flv
8021708416f314795847c30f004e6fb2     http://v.teacherclub.com.cn/course/cf/2011xkgp212/syxbxc/video/syxbxc2.flv
7bf15cb1facdb7775b61def9a9e4d829     http://v.teacherclub.com.cn/course/cf/2011xkgp212/syxbxc/video/syxbxc1.flv
ace04de25a6517a66f4cb076c7d778d3     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_zzr/video/ts_2_zzr6.flv
0f159ca1fae229b895949bd44783c196     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_zzr/video/ts_2_zzr5.flv
f223e6b017819ac369a18f707d4433b5     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_zzr/video/ts_2_zzr4.flv
d29269051b72b73049a9bdecc3c7c8c6     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_zzr/video/ts_2_zzr3.flv
f3e711d2a60bc43def1fe00869b8029b     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_zzr/video/ts_2_zzr2.flv
2a4371b1b5788815af3bd7a7f621f88b     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_zzr/video/ts_2_zzr1.flv
1bd64ad1d8e390a71ca55b0475f70e70     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_zw/video/ts_4_zw2.flv
189ca99b430cf9f62679bc2b31f25ad9     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_zw/video/ts_4_zw1.flv
53adfd177eedc2e46befc38fd847ccc7     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_zhj/video/zhj5.flv
64e1f6804dbb8e4b5e3e88df0c7fac54     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_zhj/video/zhj4.flv
264c03d179b6a89300f811da9022dc62     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_zhj/video/zhj3.flv
5bd32bdce06780cfab5a40cc23a83b03     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_zhj/video/zhj2.flv
f20d8565c77c8c0cf5a85550588dd0a1     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_zhj/video/zhj1.flv
506a44e7f52b27dd38b151b758fabdf0     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_yx/video/yx7.flv
497b3a1b6788d40c0b35c156c3e9b2e0     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_yx/video/yx6.flv
d7a2fde928cbe1c8aaf5812c43c27459     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_yx/video/yx5.flv
912533485eaec9e1d7d7ed20474a54fe     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_yx/video/yx4.flv
0c35dded130188b70b36d3b0653308b8     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_yx/video/yx3.flv
b5c900052c29c1597bfe59dad648a1d9     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_yx/video/yx2.flv
ff01b27442dc010f3f093ad7ecd72923     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_yx/video/yx1.flv
52cd79435d38c531d7a1fb9cd883148f     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_xyj/video/ts_3_xyj3.flv
f2b3f3426740ce82cbf20f39c74ea189     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_xyj/video/ts_3_xyj2.flv
dcde2ba2f26a16dcb72925eb06122a7a     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_xyj/video/ts_3_xyj1.flv
d65dbbc0069ed9f0ba191dd2b0ec49fb     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_wwd/video/ts_3_wwd2.flv
2d9ede7aeaebf6a726921ab02129bf23     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_wwd/video/ts_3_wwd1.flv
71e4b51583fcb4951ec7f0f7bf89efe0     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_lj/video/ts_2_lj5.flv
1aa0aeb3032edee88c11218be00a07cc     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_lj/video/ts_2_lj4.flv
0b6511a2e60b647e2c29a8065a3421ad     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_lj/video/ts_2_lj3.flv
ac9f6680fde87637bc83d8d28a8fdcc7     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_lj/video/ts_2_lj2.flv
e92f270a74b1003ea0f9fce21238e497     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_lj/video/ts_2_lj1.flv
209da7abc0535cd950b76e800ed36259     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_lgs/video/ts_3_lgs2.flv
14c2a73581a5982f5bd29df3ff75b4af     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_lgs/video/ts_3_lgs1.flv
2720bf11c452839afbd3cfb1f3c744ed     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_hwq/video/ts_3_xyj.flv
bc96a9e77ca969a3fafb215b90121287     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_hwq/video/ts_3_hwq4.flv
adbca569628ff697860a2f65d4b59a85     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_hwq/video/ts_3_hwq3.flv
acc3c8f12f73191b37c9ba5c2f15f634     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_hwq/video/ts_3_hwq2.flv
6708ce6851a28d9b33bb6c62871d382e     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_hwq/video/ts_3_hwq1.flv
32ca3c7c6570be8dce773352cdc69712     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_hwf/video/ts_4_hwf3.flv
49b5d5e4296aff32dffd563413a02fad     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_hwf/video/ts_4_hwf2.flv
9779332cbd61aad599be1ce6928d7bac     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_hwf/video/ts_4_hwf1.flv
71c5210edc0867b565ba5c3e840bd3cd     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_gxm/video/gxm7.flv
5008b01226450e1ffbdc332e458591c3     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_gxm/video/gxm6.flv
796e96dbfdd35f72a91ccef8828fe9f7     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_gxm/video/gxm5.flv
0da947b2df72f36b6d10397560af2359     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_gxm/video/gxm4.flv
51fa4da7cb92a61fd85979321a0e8f2a     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_gxm/video/gxm3.flv
39506ded4ac73e43f2a2d59fa2ccf4db     http://v.teacherclub.com.cn/course/cf/2011pxz217/pxz_gxm/video/gxm2.flv
